Freq.	V(n61p1)
1.10153930954141e+01	(1.37121805315204e+01dB,-1.81962586392438e-02°)
1.10407861990207e+01	(1.37121795312916e+01dB,-1.82382026384807e-02°)
1.10662378397766e+01	(1.37121785327074e+01dB,-1.82802435290454e-02°)
1.10917481526240e+01	(1.37121775251658e+01dB,-1.83223806060254e-02°)
1.11173172728159e+01	(1.37121765071595e+01dB,-1.83646172597512e-02°)
1.11429453359173e+01	(1.37121755088203e+01dB,-1.84069498299484e-02°)
1.11686324778056e+01	(1.37121744708107e+01dB,-1.84493779010459e-02°)
1.11943788346715e+01	(1.37121734584529e+01dB,-1.84919072069987e-02°)
1.12201845430196e+01	(1.37121724469367e+01dB,-1.85345341210073e-02°)
1.12460497396692e+01	(1.37121714232216e+01dB,-1.85772582537720e-02°)
1.12719745617551e+01	(1.37121703989568e+01dB,-1.86200807500834e-02°)
1.12979591467279e+01	(1.37121694070385e+01dB,-1.86630022389028e-02°)
1.13240036323555e+01	(1.37121683719695e+01dB,-1.87060239111462e-02°)
1.13501081567231e+01	(1.37121673330155e+01dB,-1.87491406609395e-02°)
1.13762728582343e+01	(1.37121663164325e+01dB,-1.87923617769413e-02°)
1.14024978756117e+01	(1.37121653168664e+01dB,-1.88356807368617e-02°)
1.14287833478977e+01	(1.37121642798735e+01dB,-1.88791000567348e-02°)
1.14551294144553e+01	(1.37121632703506e+01dB,-1.89226185824882e-02°)
1.14815362149688e+01	(1.37121622375435e+01dB,-1.89662370212313e-02°)
1.15080038894443e+01	(1.37121611999077e+01dB,-1.90099553805756e-02°)
1.15345325782109e+01	(1.37121601723193e+01dB,-1.90537772912508e-02°)
1.15611224219210e+01	(1.37121591318625e+01dB,-1.90976965669888e-02°)
1.15877735615512e+01	(1.37121581079582e+01dB,-1.91417204597932e-02°)
1.16144861384034e+01	(1.37121570515665e+01dB,-1.91858434351652e-02°)
1.16412602941049e+01	(1.37121560410009e+01dB,-1.92300704395639e-02°)
1.16680961706096e+01	(1.37121550053980e+01dB,-1.92743975284558e-02°)
1.16949939101987e+01	(1.37121539652531e+01dB,-1.93188272982077e-02°)
1.17219536554813e+01	(1.37121529245805e+01dB,-1.93633601842943e-02°)
1.17489755493953e+01	(1.37121518894212e+01dB,-1.94079939446333e-02°)
1.17760597352080e+01	(1.37121508430040e+01dB,-1.94527332732640e-02°)
1.18032063565173e+01	(1.37121498142264e+01dB,-1.94975730563440e-02°)
1.18304155572516e+01	(1.37121487786615e+01dB,-1.95425176415532e-02°)
1.18576874816716e+01	(1.37121477180121e+01dB,-1.95875642219782e-02°)
1.18850222743701e+01	(1.37121466684218e+01dB,-1.96327163889108e-02°)
1.19124200802737e+01	(1.37121456254930e+01dB,-1.96779710924798e-02°)
1.19398810446427e+01	(1.37121445767176e+01dB,-1.97233328381326e-02°)
1.19674053130724e+01	(1.37121435257898e+01dB,-1.97687974164077e-02°)
1.19949930314937e+01	(1.37121424830510e+01dB,-1.98143658109075e-02°)
1.20226443461741e+01	(1.37121414257865e+01dB,-1.98600405541917e-02°)
1.20503594037179e+01	(1.37121403741659e+01dB,-1.99058214649392e-02°)
1.20781383510678e+01	(1.37121393100130e+01dB,-1.99517037215233e-02°)
1.21059813355048e+01	(1.37121382541650e+01dB,-1.99976958110967e-02°)
1.21338885046497e+01	(1.37121372014749e+01dB,-2.00437933877587e-02°)
1.21618600064636e+01	(1.37121361438385e+01dB,-2.00899970606746e-02°)
1.21898959892486e+01	(1.37121350754591e+01dB,-2.01363078016377e-02°)
1.22179966016487e+01	(1.37121340263500e+01dB,-2.01827232388732e-02°)
1.22461619926504e+01	(1.37121329394861e+01dB,-2.02292451959208e-02°)
1.22743923115840e+01	(1.37121319075674e+01dB,-2.02758773978466e-02°)
1.23026877081238e+01	(1.37121308363327e+01dB,-2.03226151215256e-02°)
1.23310483322890e+01	(1.37121297772375e+01dB,-2.03694623048902e-02°)
1.23594743344450e+01	(1.37121287039444e+01dB,-2.04164157327193e-02°)
1.23879658653036e+01	(1.37121276387975e+01dB,-2.04634773031017e-02°)
1.24165230759240e+01	(1.37121265617702e+01dB,-2.05106468574298e-02°)
1.24451461177138e+01	(1.37121255056884e+01dB,-2.05579284490628e-02°)
1.24738351424294e+01	(1.37121244310817e+01dB,-2.06053165100509e-02°)
1.25025903021771e+01	(1.37121233482473e+01dB,-2.06528135868769e-02°)
1.25314117494141e+01	(1.37121222675049e+01dB,-2.07004189497448e-02°)
1.25602996369487e+01	(1.37121212094186e+01dB,-2.07481378957000e-02°)
1.25892541179416e+01	(1.37121201271099e+01dB,-2.07959654281374e-02°)
