Freq.	V(n61p1)
1.06905487922266e+01	(1.36964851090261e+01dB,-1.82812332318497e-02°)
1.07151930523761e+01	(1.36964841087894e+01dB,-1.83233733008532e-02°)
1.07398941234124e+01	(1.36964831039298e+01dB,-1.83656109036508e-02°)
1.07646521362983e+01	(1.36964821146396e+01dB,-1.84079450444050e-02°)
1.07894672222983e+01	(1.36964811211639e+01dB,-1.84503784986997e-02°)
1.08143395129794e+01	(1.36964801313574e+01dB,-1.84929092820936e-02°)
1.08392691402120e+01	(1.36964791456583e+01dB,-1.85355373570166e-02°)
1.08642562361706e+01	(1.36964781355337e+01dB,-1.85782633757883e-02°)
1.08893009333343e+01	(1.36964771424128e+01dB,-1.86210888358120e-02°)
1.09144033644875e+01	(1.36964761359230e+01dB,-1.86640123502866e-02°)
1.09395636627209e+01	(1.36964751488771e+01dB,-1.87070369652096e-02°)
1.09647819614318e+01	(1.36964741413599e+01dB,-1.87501579746693e-02°)
1.09900583943252e+01	(1.36964731240226e+01dB,-1.87933780467907e-02°)
1.10153930954141e+01	(1.36964721182069e+01dB,-1.88367012403584e-02°)
1.10407861990207e+01	(1.36964711202776e+01dB,-1.88801215613822e-02°)
1.10662378397766e+01	(1.36964701092321e+01dB,-1.89236418375497e-02°)
1.10917481526240e+01	(1.36964691057316e+01dB,-1.89672620247995e-02°)
1.11173172728159e+01	(1.36964680967889e+01dB,-1.90109851909219e-02°)
1.11429453359173e+01	(1.36964670986143e+01dB,-1.90548074416706e-02°)
1.11686324778056e+01	(1.36964660607626e+01dB,-1.90987295337103e-02°)
1.11943788346715e+01	(1.36964650591756e+01dB,-1.91427556436833e-02°)
1.12201845430196e+01	(1.36964640478774e+01dB,-1.91868826606503e-02°)
1.12460497396692e+01	(1.36964630214752e+01dB,-1.92311112118881e-02°)
1.12719745617551e+01	(1.36964619863587e+01dB,-1.92754404875349e-02°)
1.12979591467279e+01	(1.36964610051121e+01dB,-1.93198732420781e-02°)
1.13240036323555e+01	(1.36964599733309e+01dB,-1.93644079416104e-02°)
1.13501081567231e+01	(1.36964589378273e+01dB,-1.94090439019477e-02°)
1.13762728582343e+01	(1.36964579146687e+01dB,-1.94537853030879e-02°)
1.14024978756117e+01	(1.36964569231166e+01dB,-1.94986285613509e-02°)
1.14287833478977e+01	(1.36964558817938e+01dB,-1.95435765027266e-02°)
1.14551294144553e+01	(1.36964548745381e+01dB,-1.95886259620751e-02°)
1.14815362149688e+01	(1.36964538402618e+01dB,-1.96337790989129e-02°)
1.15080038894443e+01	(1.36964528126688e+01dB,-1.96790371028526e-02°)
1.15345325782109e+01	(1.36964517795409e+01dB,-1.97244008887121e-02°)
1.15611224219210e+01	(1.36964507469087e+01dB,-1.97698677416680e-02°)
1.15877735615512e+01	(1.36964497271315e+01dB,-1.98154397477252e-02°)
1.16144861384034e+01	(1.36964486741883e+01dB,-1.98611156319739e-02°)
1.16412602941049e+01	(1.36964476634911e+01dB,-1.99068991693654e-02°)
1.16680961706096e+01	(1.36964466306262e+01dB,-1.99527867762083e-02°)
1.16949939101987e+01	(1.36964455952277e+01dB,-1.99987807084296e-02°)
1.17219536554813e+01	(1.36964445577565e+01dB,-2.00448804424154e-02°)
1.17489755493953e+01	(1.36964435171467e+01dB,-2.00910853476951e-02°)
1.17760597352080e+01	(1.36964424782969e+01dB,-2.01373988837867e-02°)
1.18032063565173e+01	(1.36964414438748e+01dB,-2.01838173356275e-02°)
1.18304155572516e+01	(1.36964404086295e+01dB,-2.02303446630405e-02°)
1.18576874816716e+01	(1.36964393600763e+01dB,-2.02769765271603e-02°)
1.18850222743701e+01	(1.36964383055943e+01dB,-2.03237168822842e-02°)
1.19124200802737e+01	(1.36964372599760e+01dB,-2.03705648669805e-02°)
1.19398810446427e+01	(1.36964362202907e+01dB,-2.04175233498600e-02°)
1.19674053130724e+01	(1.36964351716565e+01dB,-2.04645870656152e-02°)
1.19949930314937e+01	(1.36964341211883e+01dB,-2.05117602806145e-02°)
1.20226443461741e+01	(1.36964330745441e+01dB,-2.05590420979247e-02°)
1.20503594037179e+01	(1.36964320207493e+01dB,-2.06064338496631e-02°)
1.20781383510678e+01	(1.36964309574543e+01dB,-2.06539320667330e-02°)
1.21059813355048e+01	(1.36964299063885e+01dB,-2.07015423694795e-02°)
1.21338885046497e+01	(1.36964288502888e+01dB,-2.07492625778652e-02°)
1.21618600064636e+01	(1.36964278006229e+01dB,-2.07970928354321e-02°)
1.21898959892486e+01	(1.36964267301677e+01dB,-2.08450326190678e-02°)
1.22179966016487e+01	(1.36964256838040e+01dB,-2.08930823606764e-02°)
1.22461619926504e+01	(1.36964246070097e+01dB,-2.09412418760056e-02°)
1.22743923115840e+01	(1.36964235666863e+01dB,-2.09895152614017e-02°)
1.23026877081238e+01	(1.36964224942061e+01dB,-2.10378980158531e-02°)
1.23310483322890e+01	(1.36964214349193e+01dB,-2.10863940196483e-02°)
1.23594743344450e+01	(1.36964203730434e+01dB,-2.11350004696825e-02°)
1.23879658653036e+01	(1.36964193061664e+01dB,-2.11837187823860e-02°)
1.24165230759240e+01	(1.36964182375587e+01dB,-2.12325479139687e-02°)
1.24451461177138e+01	(1.36964171727009e+01dB,-2.12814930382123e-02°)
1.24738351424294e+01	(1.36964160972913e+01dB,-2.13305481370563e-02°)
1.25025903021771e+01	(1.36964150198241e+01dB,-2.13797183722749e-02°)
1.25314117494141e+01	(1.36964139499865e+01dB,-2.14290005532847e-02°)
1.25602996369487e+01	(1.36964128823504e+01dB,-2.14783970979642e-02°)
1.25892541179416e+01	(1.36964118018841e+01dB,-2.15279077679774e-02°)
1.26182753459066e+01	(1.36964107208454e+01dB,-2.15775318444841e-02°)
1.26473634747114e+01	(1.36964096558159e+01dB,-2.16272708315641e-02°)
1.26765186585784e+01	(1.36964085683331e+01dB,-2.16771232678984e-02°)
1.27057410520853e+01	(1.36964074843612e+01dB,-2.17270918444830e-02°)
1.27350308101665e+01	(1.36964064110515e+01dB,-2.17771759649675e-02°)
1.27643880881134e+01	(1.36964053331053e+01dB,-2.18273744046035e-02°)
1.27938130415752e+01	(1.36964042461776e+01dB,-2.18776888690285e-02°)
1.28233058265601e+01	(1.36964031659536e+01dB,-2.19281179941839e-02°)
1.28528665994361e+01	(1.36964020689503e+01dB,-2.19786658519179e-02°)
1.28824955169313e+01	(1.36964009978156e+01dB,-2.20293310330754e-02°)
1.29121927361353e+01	(1.36963999074468e+01dB,-2.20801102241086e-02°)
1.29419584144998e+01	(1.36963988093181e+01dB,-2.21310067746085e-02°)
1.29717927098395e+01	(1.36963977151715e+01dB,-2.21820204646971e-02°)
1.30016957803328e+01	(1.36963966384213e+01dB,-2.22331547728145e-02°)
1.30316677845229e+01	(1.36963955460855e+01dB,-2.22844028551101e-02°)
1.30617088813183e+01	(1.36963944308933e+01dB,-2.23357703599236e-02°)
1.30918192299940e+01	(1.36963933455519e+01dB,-2.23872569137471e-02°)
1.31219989901920e+01	(1.36963922543348e+01dB,-2.24388620095285e-02°)
1.31522483219223e+01	(1.36963911373466e+01dB,-2.24905866775456e-02°)
1.31825673855640e+01	(1.36963900447136e+01dB,-2.25424298267796e-02°)
1.32129563418657e+01	(1.36963889453729e+01dB,-2.25943938759069e-02°)
1.32434153519466e+01	(1.36963878329685e+01dB,-2.26464754137599e-02°)
1.32739445772973e+01	(1.36963867465211e+01dB,-2.26986783819033e-02°)
1.33045441797808e+01	(1.36963856272106e+01dB,-2.27510007352818e-02°)
1.33352143216332e+01	(1.36963845168476e+01dB,-2.28034439992700e-02°)
1.33659551654643e+01	(1.36963834267526e+01dB,-2.28560087465666e-02°)
1.33967668742593e+01	(1.36963823189357e+01dB,-2.29086953946681e-02°)
1.34276496113785e+01	(1.36963812008297e+01dB,-2.29615021028922e-02°)
1.34586035405594e+01	(1.36963800878980e+01dB,-2.30144295294628e-02°)
1.34896288259164e+01	(1.36963789631066e+01dB,-2.30674803504335e-02°)
1.35207256319427e+01	(1.36963778422731e+01dB,-2.31206538935616e-02°)
1.35518941235103e+01	(1.36963767558578e+01dB,-2.31739514403764e-02°)
1.35831344658714e+01	(1.36963756330698e+01dB,-2.32273672737557e-02°)
1.36144468246594e+01	(1.36963745125949e+01dB,-2.32809100266916e-02°)
1.36458313658891e+01	(1.36963733783549e+01dB,-2.33345756330745e-02°)
